2023-04-06 15:24:37,125 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:37,125 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:38,409 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:38,411 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:38,411 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:39,055 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:39,230 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:39,230 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:42,428 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:42,477 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:42,477 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:58,541 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:58,543 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:58,543 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:59,564 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:59,717 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:59,717 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:25:00,968 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:25:01,024 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:25:01,024 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:27:11,455 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:27:11,456 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:27:11,456 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:27:12,555 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:27:12,575 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:27:12,575 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:27:14,004 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:27:14,058 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:27:14,058 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:27:35,364 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:27:35,365 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:27:35,365 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:27:36,567 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:27:36,602 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:27:36,602 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:27:38,965 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:27:40,083 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:27:40,083 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:29:22,837 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:29:22,838 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:29:22,838 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:29:23,546 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:29:23,557 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:29:23,557 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:29:24,778 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:29:25,104 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:29:25,104 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:30:00,581 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:30:00,583 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:30:00,583 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:30:01,741 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:30:01,753 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
